country,countryLabel,capitale,capitaleLabel,gps,flagimage
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q70,Bern,Point(8.231973 46.798562),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Switzerland.svg
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1741,Vienna,Point(14.0 48.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg
http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q1524,Athens,Point(23.0 38.5),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece.svg
http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q3640,Ankara,Point(36.0 39.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Turkey.svg
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.183333333 38.7),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Portugal.svg
http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q1335,Montevideo,Point(-56.65 -32.733333333),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uruguay.svg
http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q85,Cairo,Point(29.0 27.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Egypt.svg
http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q1489,Mexico City,Point(-102.0 23.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mexico.svg
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q3870,Nairobi,Point(38.0 0.1),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg
http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q3624,Addis Ababa,Point(40.0 9.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ethiopia.svg
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q3761,Accra,Point(-0.5 8.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ghana.svg
http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q90,Paris,Point(2.0 47.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg
http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q84,London,Point(-2.0 54.6),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom.svg
http://www.wikidata.org/entity/Q148,China,http://www.wikidata.org/entity/Q956,Beijing,Point(103.451944444 35.844722222),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20People%27s%20Republic%20of%20China.svg
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2844,Brasília,Point(-53.0 -14.0),https://imagepng.org/wp-content/uploads/2017/04/bandeira-do-brasil.png
